CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
19752,52,176,1-52-2020-176-02,2,2,1,1,First Record,1,8230,0,3,9997.0000,1,9997.0000,-42.8904,100.0000,6.8747,298.0000,20.3744460339419,12,5
19430,13,98,1-13-2020-098-02,2,1,1,2,Event Record 2,3,4327,1,2,4.0000,1,9997.0000,0.0000,300.0000,-12.8800,300.0000,98.2255460452971,7,5
16359,10,18,1-10-2020-018-03,3,2,1,1,Event Record 1,1,7855,0,1,9997.0000,1,9997.0000,27.3700,164.0000,-3.2200,162.0000,230.816701262553,4,5
16151,77,8,1-77-2020-008-02,2,2,1,1,Most Recent Event,1,6699,0,1,9995.0000,1,9997.0000,-6.9230,108.0000,14.0070,96.0000,82.8182922699722,9,5
16517,77,21,1-77-2020-021-03,3,1,1,1,Event Record 1,3,6377,0,1,0.0000,1,9997.0000,-1.6100,300.0000,-1.6100,297.5000,683.411503541556,9,5
16633,12,18,1-12-2020-018-03,3,1,1,2,Event Record 2,1,6743,0,2,1.0000,1,175.0000,-27.3700,175.0000,-1.6100,32.5000,796.623593547928,9,5
19753,52,177,1-52-2020-177-06,6,1,1,1,Most Recent Event,5,10300,0,1,9995.0000,1,9997.0000,-10.9480,176.0000,997.0000,9997.0000,217.703499651516,12,5
19755,52,179,1-52-2020-179-07,7,2,1,1,Event Record 1,1,19059,0,1,9997.0000,1,9997.0000,-20.9300,182.0000,9.6600,98.0000,709.778616755891,12,5
19756,25,125,1-25-2020-125-09,9,1,1,3,Prior Frontal/Rear Event,97,999997,1,97,9997.0000,7,9997.0000,-52.4860,9997.0000,997.0000,9997.0000,1025.3054924784,2,5
19756,25,125,1-25-2020-125-09,9,1,1,1,Most Recent Frontal/Rear Event,1,999997,1,97,9997.0000,7,9997.0000,8.2110,9997.0000,997.0000,9997.0000,1025.3054924784,2,5
19760,32,166,1-32-2020-166-10,10,1,1,1,Most Recent Event,99,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,15663.086272617,7,5
19761,32,167,1-32-2020-167-02,2,1,1,1,Record 1,97,5808,0,1,9997.0000,1,162.0000,-3.0590,124.0000,10.9480,162.0000,33.7705155274928,7,5
19761,32,167,1-32-2020-167-02,2,1,1,2,Record 2,3,10020,0,2,9997.0000,1,170.0000,-56.0280,170.0000,-3.0590,224.0000,33.7705155274928,7,5
19762,32,168,1-32-2020-168-02,2,1,1,2,Record 2,1,13668,1,5,6.7900,1,168.0000,-12.0750,168.0000,3.0590,142.0000,33.7705155336673,7,5
19762,32,168,1-32-2020-168-02,2,1,1,1,Record 1,2,13668,0,4,0.5400,1,506.0000,-59.0870,506.0000,65.0440,506.0000,33.7705155336673,7,5
19762,32,168,1-32-2020-168-02,2,1,1,3,Record 3,95,13668,0,3,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,33.7705155336673,7,5
19764,59,60,1-59-2020-060-02,2,2,1,1,Event 1,1,15450,0,1,9997.0000,1,80.0000,-17.7100,80.0000,8.0500,80.0000,134.154753942659,6,5
19767,13,106,1-13-2020-106-03,3,2,1,3,Prior Frontal/Rear Event,99,999997,0,97,9997.0000,7,9997.0000,-7.4060,9997.0000,997.0000,9997.0000,1593.33025024398,7,5
