CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
8771,30,99,1-30-2017-099-03,3,2,1,4,3rd Prior Event,97,1424,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,409.854237686373,10,2
7305,31,29,1-31-2017-029-07,7,1,1,3,Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-4.5080,9997.0000,997.0000,9997.0000,6637.32119482343,6,2
7101,32,51,1-32-2017-051-02,2,1,1,4,3rd Prior Event,97,256,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,100.6051686459,7,2
7521,32,80,1-32-2017-080-03,3,1,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,4.8300,9997.0000,997.0000,9997.0000,1166.26283887066,7,2
6593,33,20,1-33-2017-020-03,3,1,1,2,1st Prior Event,97,6964,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,100.559359139715,12,2
7929,24,96,1-24-2017-096-03,3,1,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,4.8300,9997.0000,997.0000,9997.0000,286.298646550666,1,2
8492,30,89,1-30-2017-089-02,2,2,1,2,Record 2,97,259,0,2,0.0100,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,52.5287731603145,10,2
9032,22,123,1-22-2017-123-10,10,1,1,1,Deployment,97,12130,0,7,-0.0800,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1245.48611073169,12,2
7298,32,68,1-32-2017-068-07,7,2,1,1,Deployment,97,26290,0,7,0.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2461.55740743636,7,2
6744,32,30,1-32-2017-030-06,6,2,1,1,Deployment,97,7040,0,7,0.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,4008.89781094842,7,2
8571,21,70,1-21-2017-070-09,9,1,1,1,Deployment,97,25659,0,7,0.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,394.697037335105,11,2
6305,32,9,1-32-2017-009-01,1,1,1,1,System Status at Deployment,97,5584,0,7,8888.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,360.855240138265,7,2
7937,27,20,1-27-2017-020-04,4,2,1,3,2nd Prior Event,97,0,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,375.265432712776,3,2
7434,22,73,1-22-2017-073-03,3,1,1,1,First Record,97,1287,0,1,9997.0000,1,9997.0000,9.9820,80.0000,997.0000,9997.0000,52.6005994637374,12,2
8983,19,143,1-19-2017-143-07,7,2,1,3,2nd Prior Event,97,999998,0,7,9997.0000,1,9997.0000,-0.4830,9997.0000,997.0000,9997.0000,808.933736699883,9,2
8077,20,116,1-20-2017-116-01,1,1,1,3,Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-5.3130,9997.0000,997.0000,9997.0000,47.9714768351659,11,2
8587,15,102,1-15-2017-102-05,5,2,1,1,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,1.9320,9997.0000,997.0000,9997.0000,139.120181829215,1,2
8120,17,72,1-17-2017-072-03,3,1,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-1.2880,9997.0000,997.0000,9997.0000,157.230755611886,4,2
6269,19,14,1-19-2017-014-09,9,1,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-2.8980,9997.0000,997.0000,9997.0000,933.155909690232,9,2
8771,30,99,1-30-2017-099-03,3,2,1,1,Most Recent Event,97,5002,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,409.854237686373,10,2
7305,31,29,1-31-2017-029-07,7,1,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,3.3810,9997.0000,997.0000,9997.0000,6637.32119482343,6,2
6215,32,5,1-32-2017-005-05,5,1,1,3,2nd Prior Event,97,999998,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,156.929343754051,7,2
7254,32,63,1-32-2017-063-06,6,3,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-1.2880,9997.0000,997.0000,9997.0000,967.187878734124,7,2
6564,26,12,1-26-2017-012-08,8,1,1,3,Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-10.4650,9997.0000,997.0000,9997.0000,356.843626018262,10,2
