CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
21892,29,39,1-29-2021-039-03,3,1,,5,22,13,23,9997,2070707,4,01/13/2020,2,4,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,63.1877399774564,2,6
21892,29,39,1-29-2021-039-03,3,1,4,1,99,13,23,9998,99999999,4,9999999999,1,5,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,63.1877399774564,2,6
21936,52,83,1-52-2021-083-09,9,2,4,2,23,12,19,6023,31911670,6,02/03/2015,3,1,2,0,0,0,0,0,0,0,0,0,0,9,9,5,1,1,1,220.66525668185,12,6
21953,32,66,1-32-2021-066-04,4,2,3,3,22,13,23,4011,19483.14,4,12/08/2020,2,1,2,2,1,1,1,5,5,1,3,3,0,1,1,5,1,0,1,6925.87801188849,7,6
21983,21,76,1-21-2021-076-05,5,2,3,2,21,10,12,4002,CC187-DSJ,4,09/16/2016,2,3,2,2,1,1,1,1,1,1,3,1,0,1,9,3,1,1,1,58.6191614307247,11,6
21983,21,76,1-21-2021-076-05,5,2,4,3,23,98,98,9998,99999999,99,9999999999,9,2,1,9,9,9,9,5,5,0,3,4,0,1,2,5,1,1,1,58.6191614307247,11,6
22017,73,43,1-73-2021-043-01,1,1,2,2,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,42.1619003808569,3,6
22070,12,14,1-12-2021-014-04,4,2,3,4,23,13,23,4015,1969650,4,07/03/2019,2,3,2,2,1,1,1,2,3,1,3,3,0,1,1,3,1,1,1,417.160621147299,9,6
22076,24,78,1-24-2021-078-03,3,1,3,3,23,10,16,9997,CC273-FYI,2,02/11/2021,1,3,1,2,1,1,1,2,5,1,3,4,0,1,1,3,1,1,1,333.172313384275,1,6
22082,52,90,1-52-2021-090-04,4,1,3,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,202.564804611792,12,6
